# PLATO Hare and Hounds: modelling of subgiant stars
# Input Data
#
# Non-seismic inputs
# ------------------
# L/LSun = 5.42 +/- 0.16
# Teff = 6714 +/- 85 K
# [Fe/H] = -0.04 +/- 0.09 dex
#
#
# Seismic inputs
# --------------
# Guideline global parameters:
# numax = 1393 +/-  69 uHz
# Dnu =  67.0 +/- 1.4 uHz
#
# Individual frequencies:
# l   n     nu      e(nu)
# -----------------------
0  13    971.05    0.94
0  14   1036.91    0.77
0  15   1105.40    0.66
0  16   1171.94    0.59
0  17   1242.45    0.54
0  18   1312.31    0.52
0  19   1382.99    0.53
0  20   1451.34    0.56
0  21   1518.40    0.63
0  22   1587.10    0.76
0  23   1656.52    1.00
0  24   1728.67    1.47
1  12    935.19    0.91
1  13   1001.87    0.74
1  14   1067.13    0.62
1  15   1133.87    0.53
1  16   1202.85    0.48
1  17   1274.52    0.45
1  18   1344.35    0.44
1  19   1413.34    0.46
1  20   1482.53    0.50
1  21   1550.98    0.58
1  22   1618.46    0.72
1  23   1687.72    1.00
2  14   1097.51    1.07
2  15   1167.08    0.95
2  16   1235.29    0.87
2  17   1307.35    0.84
2  18   1375.87    0.84
2  19   1445.21    0.89
2  20   1514.92    0.99
2  21   1582.95    1.19
