# PLATO Hare and Hounds: modelling of subgiant stars
# Input Data
#
# Non-seismic inputs
# ------------------
# L/LSun = 3.67 +/- 0.11
# Teff = 6195 +/- 85 K
# [Fe/H] =  0.35 +/- 0.09 dex
#
#
# Seismic inputs
# --------------
# Guideline global parameters:
# numax = 1284 +/-  68 uHz
# Dnu =  68.8 +/- 1.4 uHz
#
# Individual frequencies:
# l   n     nu      e(nu)
# -----------------------
0  13    986.52    0.44
0  14   1055.59    0.28
0  15   1125.73    0.21
0  16   1194.94    0.17
0  17   1263.60    0.15
0  18   1330.98    0.14
0  19   1399.97    0.15
0  20   1469.46    0.16
0  21   1540.18    0.20
0  22   1610.93    0.28
0  23   1680.96    0.44
0  24   1750.91    0.85
1  12    951.58    0.50
1  13   1019.58    0.30
1  14   1089.83    0.20
1  15   1159.97    0.16
1  16   1229.26    0.14
1  17   1297.56    0.13
1  18   1365.98    0.12
1  19   1435.38    0.13
1  20   1505.87    0.15
1  21   1576.79    0.20
1  22   1647.16    0.29
1  23   1717.01    0.51
1  24   1787.51    1.09
2  13   1051.04    0.47
2  14   1120.90    0.34
2  15   1190.94    0.27
2  16   1259.06    0.24
2  17   1327.30    0.23
2  18   1395.78    0.24
2  19   1466.19    0.26
2  20   1536.09    0.32
2  21   1606.78    0.43
2  22   1676.46    0.69
