# PLATO Hare and Hounds: modelling of subgiant stars
# Input Data
#
# Non-seismic inputs
# ------------------
# L/LSun = 1.50 +/- 0.05
# Teff = 5814 +/- 85 K
# [Fe/H] =  0.03 +/- 0.09 dex
#
#
# Seismic inputs
# --------------
# Guideline global parameters:
# numax = 2207 +/- 108 uHz
# Dnu = 106.3 +/- 2.1 uHz
#
# Individual frequencies:
# l   n     nu      e(nu)
# -----------------------
0  15   1706.47    0.24
0  16   1807.47    0.15
0  17   1910.07    0.11
0  18   2013.11    0.10
0  19   2116.48    0.11
0  20   2219.29    0.12
0  21   2322.75    0.16
0  22   2425.89    0.24
0  23   2529.59    0.46
1  14   1650.16    0.29
1  15   1751.46    0.16
1  16   1854.06    0.11
1  17   1957.02    0.09
1  18   2060.37    0.09
1  19   2164.05    0.09
1  20   2267.16    0.11
1  21   2370.64    0.16
1  22   2474.73    0.27
1  23   2579.56    0.58
2  15   1801.50    0.24
2  16   1904.16    0.19
2  17   2008.10    0.17
2  18   2111.20    0.17
2  19   2214.53    0.19
2  20   2318.34    0.25
2  21   2421.70    0.38
2  22   2527.13    0.72
