# PLATO Hare and Hounds: modelling of subgiant stars
# Input Data
#
# Non-seismic inputs
# ------------------
# L/LSun = 1.03 +/- 0.03
# Teff = 5991 +/- 85 K
# [Fe/H] = -0.28 +/- 0.09 dex
#
#
# Seismic inputs
# --------------
# Guideline global parameters:
# numax = 2906 +/- 143 uHz
# Dnu = 132.9 +/- 2.7 uHz
#
# Individual frequencies:
# l   n     nu      e(nu)
# -----------------------
0  16   2343.23    0.31
0  17   2475.35    0.20
0  18   2608.24    0.16
0  19   2741.40    0.16
0  20   2874.55    0.18
0  21   3008.00    0.23
0  22   3141.43    0.38
0  23   3274.02    0.73
1  15   2273.13    0.36
1  16   2404.83    0.21
1  17   2537.87    0.15
1  18   2671.57    0.13
1  19   2805.21    0.14
1  20   2939.08    0.17
1  21   3071.81    0.25
1  22   3206.53    0.43
1  23   3340.91    0.93
2  16   2468.04    0.33
2  17   2601.61    0.26
2  18   2735.41    0.25
2  19   2869.31    0.28
2  20   3002.43    0.37
2  21   3136.34    0.59
