# PLATO Hare and Hounds: modelling of subgiant stars
# Input Data
#
# Non-seismic inputs
# ------------------
# L/LSun = 0.98 +/- 0.03
# Teff = 5886 +/- 85 K
# [Fe/H] =  0.10 +/- 0.09 dex
#
#
# Seismic inputs
# --------------
# Guideline global parameters:
# numax = 3254 +/- 167 uHz
# Dnu = 136.5 +/- 2.8 uHz
#
# Individual frequencies:
# l   n     nu      e(nu)
# -----------------------
0  18   2794.98    0.29
0  19   2936.89    0.19
0  20   3078.92    0.16
0  21   3221.60    0.16
0  22   3364.43    0.20
0  23   3506.28    0.30
0  24   3647.87    0.54
0  25   3789.75    1.14
1  17   2720.07    0.34
1  18   2861.36    0.20
1  19   3004.19    0.14
1  20   3146.30    0.13
1  21   3289.14    0.15
1  22   3431.59    0.20
1  23   3574.49    0.33
1  24   3718.28    0.64
1  25   3857.98    1.48
2  18   2924.71    0.31
2  19   3067.29    0.26
2  20   3210.91    0.26
2  21   3353.16    0.32
2  22   3496.49    0.47
2  23   3637.81    0.82
