# PLATO Hare and Hounds: modelling of subgiant stars
# Input Data
#
# Non-seismic inputs
# ------------------
# L/LSun = 2.85 +/- 0.09
# Teff = 6357 +/- 85 K
# [Fe/H] = -0.17 +/- 0.09 dex
#
#
# Seismic inputs
# --------------
# Guideline global parameters:
# numax = 1660 +/-  85 uHz
# Dnu =  86.4 +/- 1.7 uHz
#
# Individual frequencies:
# l   n     nu      e(nu)
# -----------------------
0  13   1239.08    0.53
0  14   1324.53    0.37
0  15   1411.18    0.28
0  16   1494.80    0.23
0  17   1580.39    0.21
0  18   1665.50    0.20
0  19   1752.00    0.21
0  20   1838.99    0.24
0  21   1925.26    0.30
0  22   2012.07    0.45
0  23   2098.64    0.78
1  12   1189.87    0.59
1  13   1276.66    0.38
1  14   1362.97    0.27
1  15   1448.50    0.22
1  16   1533.33    0.19
1  17   1617.86    0.17
1  18   1704.86    0.17
1  19   1791.68    0.19
1  20   1878.61    0.22
1  21   1964.84    0.30
1  22   2051.53    0.48
1  23   2139.27    0.91
2  13   1318.56    0.60
2  14   1404.56    0.45
2  15   1489.17    0.37
2  16   1574.06    0.33
2  17   1659.30    0.32
2  18   1746.07    0.33
2  19   1832.56    0.38
2  20   1920.62    0.48
2  21   2007.57    0.70
2  22   2093.48    1.21
